"","English.Word","anger","disgust","fear","joy","negative","positive","sadness","surprise","Spanish.Word"
"2481","conceal",0,0,0,0,1,0,1,0,"encubrir"
"2482","concealed",0,0,1,0,1,0,0,1,"ocultado"
"2483","concealment",1,0,1,0,1,0,0,0,"ocultación"
"2484","conceit",0,0,0,0,1,0,0,0,"presunción"
"2485","conceited",0,0,0,0,1,0,0,0,"engreído"
"2489","concentric",0,0,0,0,0,1,0,0,"concéntrico"
"2492","concerned",0,0,1,0,0,0,1,0,"preocupado"
"2497","conciliation",0,0,0,1,0,1,0,0,"conciliación"
"2501","concluding",0,0,0,0,0,1,0,0,"concluyendo"
"2505","concord",0,0,0,0,0,1,0,0,"concordia"
"2506","concordance",0,0,0,0,0,1,0,0,"concordancia"
"2513","concussion",1,0,0,0,1,0,1,0,"concusión"
"2514","condemn",1,0,0,0,1,0,0,0,"condenar"
"2515","condemnation",1,1,1,0,1,0,1,0,"condenación"
"2518","condescending",0,0,0,0,1,0,0,0,"condescendiente"
"2519","condescension",1,1,0,0,1,0,1,0,"condescendencia"
"2526","condolence",0,0,0,0,0,1,1,0,"condolencia"
"2527","condone",0,0,0,0,0,1,0,0,"condonar"
"2528","conducive",0,0,0,0,0,1,0,0,"conducente"
"2531","conductivity",0,0,0,0,0,1,0,0,"conductividad"
"2535","confederate",0,0,0,0,0,1,0,0,"confederado"
"2539","confess",0,0,0,0,1,1,0,0,"confesar"
"2540","confession",0,0,1,0,1,0,1,1,"confesión"
"2541","confessional",0,0,1,0,0,0,0,0,"confesional"
"2544","confidence",0,0,1,1,0,1,0,0,"confianza"
"2545","confident",0,0,0,1,0,1,0,0,"confidente"
"2549","confine",1,0,1,0,1,0,1,0,"confinar"
"2550","confined",1,1,1,0,1,0,1,0,"confinado"
"2551","confinement",1,0,1,0,1,0,1,0,"confinamiento"
"2556","confirmed",0,0,0,0,0,1,0,0,"confirmado"
"2557","confiscate",1,0,0,0,1,0,1,0,"confiscar"
"2558","confiscation",0,0,0,0,1,0,0,0,"confiscación"
"2559","conflagration",1,0,1,0,1,0,0,0,"conflagración"
"2560","conflict",1,0,1,0,1,0,1,0,"conflicto"
"2561","conflicting",0,0,0,0,1,0,0,0,"contradictorio"
"2563","conformance",0,0,0,0,0,1,0,0,"conformidad"
"2566","confound",0,0,0,0,1,0,0,0,"confundir"
"2567","confounded",0,0,0,0,1,0,0,0,"aturdido"
"2568","confront",1,0,0,0,0,0,0,0,"confrontar"
"2569","confuse",0,0,0,0,1,0,0,0,"confundir"
"2570","confusion",1,0,1,0,1,0,0,0,"confusión"
"2571","congenial",0,0,0,0,0,1,0,0,"agradable"
"2573","congestion",0,0,0,0,1,0,0,0,"congestión"
"2576","congratulatory",0,0,0,1,0,1,0,0,"congratulatorio"
"2578","congregation",0,0,0,0,0,1,0,0,"congregación"
"2579","congress",0,1,0,0,0,0,0,0,"congreso"
"2582","congruence",0,0,0,0,0,1,0,0,"congruencia"
"2591","conjure",0,0,0,0,0,0,0,1,"conjurar"
"2592","conjuring",0,0,0,0,1,0,0,0,"prestidigitación"
"2597","connoisseur",0,0,0,1,0,1,0,0,"conocedor"
"2600","conquest",1,0,1,0,1,0,0,0,"conquista"
"2601","conscience",0,0,0,0,0,1,0,0,"conciencia"
"2602","conscientious",0,0,0,0,0,1,0,0,"concienzudo"
"2603","consciousness",0,0,0,0,0,1,0,0,"conciencia"
"2605","consecration",0,0,0,1,0,1,1,0,"consagración"
"2611","conservation",0,0,0,0,0,1,0,0,"conservación"
"2615","conserve",0,0,0,0,0,1,0,0,"conservar"
"2616","considerable",0,0,0,0,0,1,0,0,"considerable"
"2617","considerate",0,0,0,0,0,1,0,0,"considerado"
"2620","consistency",0,0,0,0,0,1,0,0,"consistencia"
"2623","console",0,0,0,0,0,1,1,0,"consola"
"2626","consonant",0,0,0,0,0,1,0,0,"consonante"
"2629","conspiracy",0,0,1,0,0,0,0,0,"conspiración"
"2630","conspirator",1,1,1,0,1,0,0,0,"conspirador"
"2631","conspire",0,0,1,0,1,0,0,0,"conspirar"
"2633","constancy",0,0,0,0,0,1,0,0,"constancia"
"2634","constant",0,0,0,0,0,1,0,0,"constante"
"2637","consternation",1,0,1,0,1,0,0,0,"consternación"
"2638","constipation",0,1,0,0,1,0,0,0,"estreñimiento"
"2643","constitutional",0,0,0,0,0,1,0,0,"constitucional"
"2645","constrain",0,0,1,0,1,0,0,0,"constreñir"
"2646","constrained",0,0,0,0,1,0,0,0,"constreñido"
"2647","constraint",1,0,1,0,1,0,1,0,"restricción"
"2648","construct",0,0,0,0,0,1,0,0,"construir"
"2656","consummate",0,0,0,0,0,1,0,0,"consumar"
"2659","contact",0,0,0,0,0,1,0,0,"contacto"
"2660","contagion",0,1,1,0,1,0,0,0,"contagio"
"2661","contagious",0,1,1,0,1,0,0,0,"contagioso"
"2663","contaminate",0,1,0,0,1,0,0,0,"contaminar"
"2664","contaminated",0,1,1,0,1,0,1,0,"contaminado"
"2665","contamination",0,1,0,0,1,0,0,0,"contaminación"
"2667","contemplation",0,0,0,0,0,1,0,0,"contemplación"
"2671","contempt",1,1,1,0,1,0,0,0,"desprecio"
"2672","contemptible",1,1,0,0,1,0,0,0,"despreciable"
"2673","contemptuous",1,0,0,0,1,0,0,0,"desdeñoso"
"2675","content",0,0,0,1,0,1,0,0,"contenido"
"2677","contentious",1,1,1,0,1,0,0,0,"contencioso"
"2690","continue",0,0,0,0,0,1,0,0,"Seguir"
"2696","contour",0,0,0,0,0,1,0,0,"contorno"
"2697","contraband",1,1,1,0,1,0,0,0,"contrabando"
"2699","contracted",0,0,0,0,1,0,0,0,"contratado"
"2703","contradict",1,0,0,0,1,0,0,0,"contradecir"
"2704","contradiction",0,0,0,0,1,0,0,0,"contradicción"
"2705","contradictory",0,0,0,0,1,0,0,0,"contradictorio"
"2706","contrary",0,0,0,0,1,0,0,0,"contrario"
"2708","contrasted",0,0,0,0,1,0,0,0,"contrastado"
"2709","contravene",0,0,0,0,1,0,0,0,"infringir"
"2710","contravention",0,0,0,0,1,0,0,0,"contravención"
"2711","contribute",0,0,0,0,0,1,0,0,"contribuir"
"2712","contributor",0,0,0,0,0,1,0,0,"contribuyente"
"2715","controversial",1,0,0,0,1,0,0,0,"controversial"
"2716","controversy",0,0,0,0,1,0,0,0,"controversia"
"2721","convenience",0,0,0,0,0,1,0,0,"conveniencia"
"2723","convenient",0,0,0,0,0,1,0,0,"conveniente"
"2724","convent",0,0,0,0,0,1,0,0,"convento"
"2725","convention",0,0,0,0,0,1,0,0,"convención"
"2730","conversant",0,0,0,0,0,1,0,0,"versado en"
"2732","conversational",0,0,0,0,0,1,0,0,"conversacional"
"2736","convert",0,0,0,0,0,1,0,0,"convertir"
"2744","convict",1,1,1,0,1,0,1,0,"condenar"
"2745","conviction",0,0,0,0,1,0,0,0,"convicción"
"2746","convince",0,0,0,0,0,1,0,0,"convencer"
"2757","cool",0,0,0,0,0,1,0,0,"Frío"
"2760","coolness",0,0,0,0,0,1,0,0,"frescura"
"2761","coop",1,1,0,0,1,0,0,0,"cooperativa"
"2762","cooperate",0,0,0,0,0,1,0,0,"cooperar"
"2763","cooperating",0,0,0,0,0,1,0,0,"cooperando"
"2764","cooperation",0,0,0,0,0,1,0,0,"cooperación"
"2765","cooperative",0,0,0,0,0,1,0,0,"cooperativa"
"2767","cop",0,0,1,0,0,0,0,0,"policía"
"2770","copy",0,0,0,0,1,0,0,0,"Copiar"
"2771","copycat",1,1,0,0,1,0,0,0,"imitador"
"2778","core",0,0,0,0,0,1,0,0,"centro"
"2789","coronation",0,0,0,1,0,1,0,0,"coronación"
"2790","coroner",0,0,0,0,1,0,0,0,"juez de instrucción"
"2791","corporal",0,0,0,0,1,0,0,0,"corporal"
"2793","corporation",0,0,0,0,0,1,0,0,"corporación"
"2794","corporeal",0,0,0,0,0,1,0,0,"corpóreo"
"2796","corpse",0,1,0,0,1,0,1,0,"cadáver"
"2799","correction",0,0,0,0,1,0,0,0,"corrección"
"2800","corrective",0,0,0,0,0,1,0,0,"correctivo"
"2805","correspondence",0,0,0,0,0,1,0,0,"correspondencia"
"2808","corroborate",0,0,0,0,0,1,0,0,"corroborar"
"2810","corrosion",0,0,0,0,1,0,0,0,"corrosión"
"2811","corrosive",0,0,1,0,1,0,0,0,"corrosivo"
"2812","corrupt",0,0,0,0,1,0,0,0,"corrupto"
"2813","corrupting",1,1,1,0,1,0,1,0,"corrompiendo"
"2814","corruption",0,1,0,0,1,0,0,0,"corrupción"
"2815","corse",0,0,0,0,0,0,1,0,"corso"
"2824","cosmopolitan",0,0,0,0,0,1,0,0,"cosmopolita"
"2829","cosy",0,0,0,0,0,1,0,0,"acogedor"
"2834","couch",0,0,0,0,0,0,1,0,"sofá"
"2836","cough",0,1,0,0,1,0,0,0,"tos"
"2837","council",0,0,0,0,0,1,0,0,"Consejo"
"2838","counsel",0,0,0,0,0,1,0,0,"consejo"
"2839","counsellor",1,0,1,0,1,0,0,0,"consejero"
"2840","counselor",0,0,0,0,0,1,0,0,"consejero"
"2841","count",0,0,0,0,0,1,0,0,"contar"
"2849","countess",0,0,0,0,0,1,0,0,"condesa"
"2855","coup",1,0,0,0,0,0,0,1,"golpe"
"2859","courage",0,0,0,0,0,1,0,0,"coraje"
"2860","courageous",0,0,1,0,0,1,0,0,"valiente"
"2863","coursing",0,0,0,0,1,0,0,0,"caza de liebres"
"2864","court",1,0,1,0,0,0,0,0,"tribunal"
"2865","courteous",0,0,0,0,0,1,0,0,"cortés"
"2866","courtesy",0,0,0,0,0,1,0,0,"cortesía"
"2869","courtship",0,0,0,1,0,1,0,0,"noviazgo"
"2871","cove",0,1,1,1,0,1,0,0,"ensenada"
"2872","covenant",0,0,0,0,0,1,0,0,"pacto"
"2877","covet",0,0,0,0,1,0,0,0,"codiciar"
"2879","coward",0,1,1,0,1,0,1,0,"cobarde"
"2880","cowardice",0,0,1,0,1,0,0,0,"cobardía"
"2881","cowardly",0,0,1,0,1,0,0,0,"cobardemente"
"2886","coy",0,0,1,0,0,0,0,0,"tímido"
"2887","coyote",0,0,1,0,0,0,0,0,"coyote"
"2889","crabby",1,0,0,0,1,0,0,0,"osco"
"2890","crack",0,0,0,0,1,0,0,0,"grieta"
"2891","cracked",1,0,1,0,1,0,0,0,"agrietado"
"2893","cracking",0,0,0,0,1,0,0,0,"agrietamiento"
"2895","cradle",0,0,0,1,0,1,0,0,"cuna"
"2896","craft",0,0,0,0,0,1,0,0,"artesanía"
"2897","craftsman",0,0,0,0,0,1,0,0,"artesano"
"2901","cramp",0,0,0,0,1,0,0,0,"calambre"
"2902","cramped",0,0,0,0,1,0,0,0,"estrecho"
"2905","crank",0,0,0,0,1,0,0,0,"manivela"
"2906","cranky",1,0,0,0,1,0,0,0,"de maniático"
"2907","crap",0,1,0,0,1,0,0,0,"tonterías"
"2909","crash",0,0,1,0,1,0,1,1,"choque"
"2915","crawl",0,1,0,0,1,0,0,0,"gatear"
"2918","crazed",1,0,1,0,1,0,0,0,"loco"
"2919","crazy",1,0,1,0,1,0,1,0,"loca"
"2920","creaking",0,0,0,0,1,0,0,0,"crujiente"
"2921","cream",0,0,0,1,0,1,0,1,"crema"
"2925","create",0,0,0,1,0,1,0,0,"crear"
"2927","creative",0,0,0,0,0,1,0,0,"creativo"
"2929","creature",0,1,1,0,1,0,0,0,"criatura"
"2930","credence",0,0,0,0,0,1,0,0,"crédito"
"2931","credential",0,0,0,0,0,1,0,0,"credencial"
"2933","credibility",0,0,0,0,0,1,0,0,"credibilidad"
"2934","credible",0,0,0,0,0,1,0,0,"creíble"
"2935","credit",0,0,0,0,0,1,0,0,"crédito"
"2936","creditable",0,0,0,0,0,1,0,0,"loable"
"2937","credited",0,0,0,0,0,1,0,0,"acreditado"
"2942","creep",0,0,0,0,1,0,0,0,"arrastrarse"
"2944","cremation",0,0,0,0,0,0,1,0,"cremación"
"2946","crescendo",0,0,0,1,0,1,0,1,"crescendo"
"2952","crime",1,0,0,0,1,0,0,0,"delito"
"2953","criminal",1,1,1,0,1,0,0,0,"delincuente"
"2954","criminality",1,1,1,0,1,0,0,0,"criminalidad"
"2957","cringe",0,1,1,0,1,0,1,0,"morir de vergüenza"
"2958","cripple",0,0,1,0,1,0,1,0,"lisiado"
"2959","crippled",0,0,0,0,1,0,1,0,"lisiado"
"2960","crisis",0,0,0,0,1,0,0,0,"crisis"
"2961","crisp",0,0,0,0,1,0,0,0,"crujiente"
"2963","critic",0,0,0,0,1,0,0,0,"crítico"
"2964","criticism",1,0,0,0,1,0,1,0,"crítica"
"2965","criticize",1,1,1,0,1,0,1,0,"criticar"
"2966","critique",0,0,0,0,0,1,0,0,"crítica"
"2967","critter",0,1,0,0,0,0,0,0,"bicho"
"2971","crocodile",0,0,1,0,0,0,0,0,"cocodrilo"
"2973","crook",0,0,0,0,1,0,0,0,"ladrón"
"2976","cross",1,0,1,0,1,0,1,0,"cruz"
"2981","crouch",0,0,1,0,0,0,0,0,"agacharse"
"2983","crouching",0,0,1,0,1,0,0,0,"agazapado"
"2989","crowning",0,0,0,1,0,1,0,1,"coronamiento"
"2990","crucial",0,0,0,0,0,1,0,0,"crucial"
"2991","cruciate",0,0,0,0,1,0,0,0,"cruzado"
"2993","crucifixion",1,1,1,0,1,0,1,0,"crucifixión"
"2994","crude",0,1,0,0,1,0,0,0,"crudo"
"2995","cruel",1,1,1,0,1,0,1,0,"cruel"
"2996","cruelly",1,0,1,0,1,0,0,0,"con crueldad"
"2997","cruelty",1,1,1,0,1,0,1,0,"crueldad"
"3001","crumbling",0,0,0,0,1,0,1,0,"desmoronándose"
"3002","crunch",1,0,0,0,1,0,0,0,"crujido"
"3003","crusade",1,0,1,0,1,0,0,0,"cruzada"
"3005","crushed",1,1,1,0,1,0,1,0,"aplastada"
"3006","crushing",1,1,1,0,1,0,0,0,"aplastante"
"3008","crusty",0,1,0,0,1,0,0,0,"crujiente"
"3011","cry",0,0,0,0,1,0,1,0,"llorar"
"3012","crying",0,0,0,0,1,0,1,0,"llorando"
"3013","crypt",0,0,1,0,1,0,1,0,"cripta"
"3016","crystal",0,0,0,0,0,1,0,0,"cristal"
"3022","cuckold",0,1,0,0,1,0,0,0,"cornudo"
"3023","cuckoo",0,0,0,0,1,0,0,0,"cuco"
"3024","cuddle",0,0,0,1,0,1,0,0,"abrazo"
"3028","culinary",0,0,0,0,0,1,0,0,"culinario"
"3029","cull",0,0,0,0,1,0,0,0,"desecho"
"3031","culmination",0,0,0,0,0,1,0,0,"culminación"
"3032","culpability",0,0,0,0,1,0,0,0,"culpabilidad"
"3033","culpable",0,0,0,0,1,0,0,0,"culpable"
"3034","culprit",0,0,0,0,1,0,0,0,"culpable"
"3035","cult",0,0,1,0,1,0,0,0,"culto"
"3036","cultivate",0,0,0,0,0,1,0,0,"cultivar"
"3037","cultivated",0,0,0,0,0,1,0,0,"cultivado"
"3038","cultivation",0,0,0,0,0,1,0,0,"cultivo"
"3039","culture",0,0,0,0,0,1,0,0,"cultura"
"3041","cumbersome",0,0,0,0,1,0,1,0,"incómodo"
"3043","cunning",0,0,0,0,1,1,0,0,"astucia"
"3046","cupping",0,1,1,0,1,0,1,0,"utilización de tazas"
"3047","cur",1,1,1,0,1,0,0,0,"canalla"
"3048","curable",0,0,0,0,0,1,0,0,"curable"
"3055","curiosity",0,0,0,0,0,1,0,1,"curiosidad"
"3056","curl",0,0,0,0,0,1,0,0,"rizo"
"3062","curse",1,1,1,0,1,0,1,0,"maldición"
"3063","cursed",1,0,1,0,1,0,1,0,"maldito"
"3064","cursing",1,1,0,0,1,0,0,0,"maldiciendo"
"3065","cursory",0,0,0,0,1,0,0,0,"superficial"
"3074","cushion",0,0,0,0,0,1,0,0,"almohadón"
"3076","cussed",1,0,0,0,0,0,0,0,"terco"
"3081","customer",0,0,0,0,0,1,0,0,"cliente"
"3084","cute",0,0,0,0,0,1,0,0,"lindo"
"3087","cutter",0,0,1,0,1,0,0,0,"cortador"
"3088","cutters",0,0,0,0,0,1,0,0,"cortadores"
"3089","cutthroat",1,0,1,0,1,0,0,0,"asesino"
"3090","cutting",1,1,1,0,1,0,1,0,"corte"
"3093","cyanide",0,0,1,0,1,0,0,0,"cianuro"
"3097","cyclone",0,0,1,0,1,0,0,1,"ciclón"
"3102","cyst",0,0,1,0,1,0,1,0,"quiste"
"3103","cystic",0,1,0,0,0,0,0,0,"cístico"
"3104","cytomegalovirus",0,0,0,0,1,0,1,0,"citomegalovirus"
"3109","dabbling",1,1,0,0,1,0,0,0,"chapoteando"
"3112","daemon",1,1,1,0,1,0,1,1,"demonio"
"3113","daft",0,1,0,0,1,0,0,0,"loco"
"3114","dagger",0,0,1,0,1,0,0,0,"daga"
"3121","damage",1,1,0,0,1,0,1,0,"daño"
"3122","damages",0,0,0,0,1,0,1,0,"daños y perjuicios"
"3123","dame",1,1,0,0,0,1,0,0,"dama"
"3124","damn",1,1,0,0,1,0,0,0,"maldita sea"
"3125","damnation",1,0,1,0,1,0,1,0,"condenación"
"3126","damned",0,0,0,0,1,0,0,0,"maldito"
"3129","damper",0,0,0,0,1,0,0,0,"apagador"
"3131","dance",0,0,0,1,0,1,0,0,"baile"
"3133","dandruff",0,0,0,0,1,0,0,0,"caspa"
"3134","dandy",0,1,0,0,1,0,0,0,"dandy"
"3135","danger",0,0,1,0,1,0,1,0,"peligro"
"3136","dangerous",0,0,1,0,1,0,0,0,"peligroso"
"3138","dank",0,1,0,0,0,0,0,0,"húmedo"
"3141","daring",0,0,0,0,0,1,0,0,"atrevido"
"3142","dark",0,0,0,0,0,0,1,0,"oscuro"
"3143","darken",0,0,1,0,1,0,1,0,"oscurecer"
"3144","darkened",0,0,1,0,1,0,1,0,"oscurecido"
"3146","darkness",1,0,1,0,1,0,1,0,"oscuridad"
"3147","darling",0,0,0,1,0,1,0,0,"querida"
"3149","dart",0,0,1,0,0,0,0,0,"dardo"
"3152","dashed",1,0,1,0,1,0,1,0,"punteado"
"3153","dashing",0,0,0,0,0,1,0,0,"apuesto"
"3154","dastardly",1,1,1,0,1,0,0,0,"ruin"
"3158","daughter",0,0,0,1,0,1,0,0,"hija"
"3159","dawn",0,0,0,1,0,1,0,1,"amanecer"
"3164","dazed",0,0,0,0,1,0,0,0,"aturdido"
"3167","deactivate",0,0,0,0,1,0,0,0,"desactivar"
"3168","deadlock",0,0,0,0,1,0,0,0,"punto muerto"
"3169","deadly",1,1,1,0,1,0,1,0,"mortal"
"3172","deal",0,0,0,1,0,1,0,1,"acuerdo"
"3177","dear",0,0,0,0,0,1,0,0,"Estimado"
"3179","death",1,1,1,0,1,0,1,1,"muerte"
"3180","debacle",0,0,1,0,1,0,1,0,"debacle"
"3182","debate",0,0,0,0,0,1,0,0,"debate"
"3183","debauchery",0,1,1,0,1,0,0,0,"libertinaje"
"3186","debris",0,1,0,0,1,0,0,0,"escombros"
"3187","debt",0,0,0,0,1,0,1,0,"deuda"
"3188","debtor",0,0,0,0,1,0,0,0,"deudor"
"3192","decay",0,0,1,0,1,0,1,0,"decadencia"
"3193","decayed",0,1,0,0,1,0,1,0,"decaido"
"3194","deceased",0,0,0,0,1,0,1,0,"fallecido"
"3195","deceit",1,1,1,0,1,0,1,1,"engaño"
"3196","deceitful",0,1,0,0,1,0,1,0,"engañoso"
"3197","deceive",1,1,0,0,1,0,1,0,"engañar"
"3198","deceived",1,0,0,0,1,0,0,0,"engañado"
"3199","deceiving",0,0,0,0,1,0,0,0,"engañoso"
"3200","decency",0,0,0,0,0,1,0,0,"decencia"
"3201","decent",0,0,0,0,0,1,0,0,"decente"
"3202","deception",0,0,0,0,1,0,0,0,"engaño"
"3203","deceptive",0,0,0,0,1,0,0,0,"engañoso"
"3212","declaratory",0,0,0,0,0,1,0,0,"declaratorio"
"3214","declination",0,0,0,0,1,0,0,0,"declinación"
"3215","decline",0,0,0,0,1,0,0,0,"rechazar"
"3216","declining",0,0,0,0,1,0,0,0,"declinante"
"3217","decompose",0,1,0,0,0,0,0,0,"descomponer"
"3218","decomposed",0,0,0,0,0,0,1,0,"descompuesto"
"3219","decomposition",0,1,1,0,1,0,1,0,"descomposición"
"3223","decoy",0,0,0,0,0,0,0,1,"señuelo"
"3224","decrease",0,0,0,0,1,0,0,0,"disminuir"
"3228","decrement",0,0,0,0,1,0,0,0,"decremento"
"3229","decrepit",0,0,0,0,1,0,0,0,"decrépito"
"3230","decry",1,0,0,0,1,0,0,0,"desacreditar"
"3231","dedication",0,0,0,0,0,1,0,0,"dedicación"
"3233","deduct",0,0,0,0,1,0,0,0,"deducir"
"3238","defamation",0,1,1,0,1,0,0,0,"difamación"
"3239","defamatory",1,0,0,0,1,0,0,0,"difamatorio"
"3240","default",0,1,1,0,1,0,1,0,"defecto"
"3241","defeat",0,0,0,0,1,0,0,0,"vencer"
"3242","defeated",0,0,0,0,1,0,1,0,"derrotado"
"3243","defect",1,0,0,0,1,0,0,0,"defecto"
"3244","defection",0,0,1,0,1,0,0,0,"deserción"
"3245","defective",0,1,0,0,1,0,0,0,"defectuoso"
"3246","defend",0,0,1,0,0,1,0,0,"defender"
"3247","defendant",1,0,1,0,0,0,1,0,"acusado"
"3248","defended",0,0,0,0,0,1,0,0,"defendido"
"3249","defender",0,0,0,0,0,1,0,0,"defensor"
"3250","defending",0,0,0,0,0,1,0,0,"defendiendo"
"3251","defense",1,0,1,0,0,1,0,0,"defensa"
"3252","defenseless",0,0,1,0,1,0,1,0,"indefenso"
"3256","deference",0,0,0,0,0,1,0,0,"deferencia"
"3257","deferral",0,0,0,0,1,0,0,0,"aplazamiento"
"3259","defiance",1,1,1,0,1,0,0,0,"desafío"
"3260","defiant",1,0,0,0,1,0,0,0,"desafiante"
"3261","deficiency",0,0,0,0,1,0,0,0,"deficiencia"
"3262","deficit",0,0,0,0,1,0,0,0,"déficit"
"3266","definitive",0,0,0,0,0,1,0,0,"definitivo"
"3267","deflate",1,0,0,0,1,0,1,0,"desinflar"
"3268","deflation",0,0,1,0,1,0,0,0,"deflación"
"3272","deform",0,1,0,0,1,0,0,0,"deformar"
"3273","deformed",0,1,0,0,1,0,1,0,"deformado"
"3274","deformity",0,1,1,0,1,0,1,0,"deformidad"
"3275","defraud",1,1,0,0,1,0,0,0,"defraudar"
"3278","defunct",0,0,0,0,1,0,1,0,"difunto"
"3279","defy",1,0,1,0,1,0,1,1,"desafiar"
"3280","degeneracy",1,1,0,0,1,0,1,0,"degeneración"
"3281","degenerate",0,0,0,0,1,0,0,0,"degenerar"
"3283","degradation",0,0,0,0,1,0,0,0,"degradación"
"3284","degrade",0,1,0,0,1,0,0,0,"degradar"
"3285","degrading",0,1,1,0,1,0,1,0,"degradante"
"3286","degree",0,0,0,0,0,1,0,0,"la licenciatura"
"3288","delay",1,1,1,0,1,0,1,0,"demora"
"3289","delayed",0,0,0,0,1,0,0,0,"demorado"
"3290","delectable",0,0,0,0,0,1,0,0,"delicioso"
"3291","delegate",0,0,0,0,0,1,0,0,"delegar"
"3293","deleterious",1,1,1,0,1,0,0,0,"perjudicial"
"3294","deletion",0,0,0,0,1,0,0,0,"supresión"
"3295","deliberate",0,0,0,0,0,1,0,0,"adrede"
"3299","delicious",0,0,0,1,0,1,0,0,"delicioso"
"3300","delight",0,0,0,1,0,1,0,0,"deleitar"
"3301","delighted",0,0,0,1,0,1,0,1,"contento"
"3302","delightful",0,0,0,1,0,1,0,0,"encantador"
"3305","delinquency",0,0,0,0,1,0,0,0,"delincuencia"
"3306","delinquent",1,1,0,0,1,0,0,0,"delincuente"
"3307","delirious",0,0,0,0,1,0,1,0,"delirante"
"3308","delirium",0,1,0,0,1,0,1,0,"delirio"
"3309","deliverance",0,0,0,1,0,1,0,0,"liberación"
"3310","delivery",0,0,0,0,0,1,0,0,"entrega"
"3313","deluge",0,0,1,0,1,0,1,1,"diluvio"
"3314","delusion",1,0,1,0,1,0,1,0,"engaño"
"3315","delusional",1,0,1,0,1,0,0,0,"delirante"
"3317","demand",1,0,0,0,1,0,0,0,"pedir"
"3318","demanding",0,0,0,0,1,0,0,0,"demandante"
"3320","demented",0,0,1,0,1,0,0,0,"demente"
"3321","dementia",0,0,1,0,1,0,1,0,"demencia"
"3322","demise",0,0,1,0,1,0,1,0,"fallecimiento"
"3323","democracy",0,0,0,0,0,1,0,0,"la democracia"
"3325","demolish",1,0,0,0,1,0,1,0,"demoler"
"3326","demolition",0,0,0,0,1,0,0,0,"demolición"
"3327","demon",1,1,1,0,1,0,1,0,"demonio"
"3328","demonic",1,1,1,0,1,0,1,0,"demoníaco"
"3329","demonstrable",0,0,0,0,0,1,0,0,"demostrable"
"3334","demonstrative",0,0,0,1,0,1,1,0,"demostrativo"
"3336","demoralized",0,0,1,0,1,0,1,0,"desmoralizado"
"3339","denial",0,0,0,0,1,0,0,0,"negación"
"3340","denied",0,0,0,0,1,0,1,0,"denegado"
"3345","denounce",1,1,0,0,1,0,0,0,"denunciar"
"3349","dentistry",0,0,1,0,0,0,0,0,"odontología"
"3350","denunciation",1,1,1,0,1,0,0,0,"denuncia"
"3351","deny",1,0,0,0,1,0,0,0,"negar"
"3352","denying",0,0,0,0,1,0,0,0,"negando"
"3354","depart",0,0,0,0,0,0,1,0,"salir"
"3355","departed",0,0,0,0,1,0,1,0,"salido"
"3357","departure",0,0,0,0,1,0,1,0,"partida"
"3360","dependence",0,0,1,0,1,0,1,0,"dependencia"
"3361","dependency",0,0,0,0,1,0,0,0,"dependencia"
"3362","dependent",0,0,0,0,1,1,0,0,"dependiente"
"3366","deplorable",1,1,1,0,1,0,1,0,"deplorable"
"3367","deplore",1,1,0,0,1,0,1,0,"deplorar"
"3369","deport",0,0,1,0,1,0,1,0,"deportar"
"3370","deportation",1,0,1,0,1,0,1,0,"deportación"
"3376","depraved",1,1,1,0,1,0,1,0,"depravado"
"3377","depravity",1,1,0,0,1,0,0,0,"depravación"
"3378","depreciate",1,1,0,0,1,0,0,0,"depreciar"
"3379","depreciated",1,1,1,0,1,0,1,0,"depreciado"
"3380","depreciation",0,0,1,0,1,0,0,0,"depreciación"
"3381","depress",0,0,1,0,1,0,1,0,"deprimir"
"3382","depressed",1,0,1,0,1,0,1,0,"deprimido"
"3383","depressing",0,1,0,0,1,0,1,0,"deprimente"
"3384","depression",0,0,0,0,1,0,1,0,"depresión"
"3385","depressive",0,0,0,0,1,0,1,0,"depresivo"
"3386","deprivation",1,1,1,0,1,0,1,0,"privación"
"3387","depth",0,0,0,0,0,1,0,0,"profundidad"
"3390","deranged",1,1,1,0,1,0,0,0,"trastornado"
"3391","derelict",0,0,0,0,1,0,0,0,"abandonado"
"3392","derision",1,1,0,0,1,0,0,0,"burla"
"3399","derogation",1,1,1,0,1,0,1,0,"humillación"
"3400","derogatory",1,1,1,0,1,0,1,0,"despectivo"
"3405","descent",0,0,1,0,0,0,1,0,"descendencia"
"3408","descriptive",0,0,0,0,0,1,0,0,"descriptivo"
"3409","desecration",1,1,1,0,1,0,1,0,"profanación"
"3410","desert",1,1,1,0,1,0,1,0,"Desierto"
"3411","deserted",1,1,1,0,1,0,1,0,"abandonado"
"3412","desertion",0,0,0,0,1,0,0,0,"deserción"
"3413","deserve",1,0,0,0,0,1,0,0,"merecer"
"3414","deserved",0,0,0,0,0,1,0,0,"merecido"
"3420","designer",0,0,0,0,0,1,0,0,"diseñador"
"3423","desirable",0,0,0,0,0,1,0,0,"deseable"
"3424","desiring",0,0,0,0,0,1,0,0,"deseando"
"3425","desirous",0,0,0,0,0,1,0,0,"deseoso"
"3426","desist",1,1,0,0,1,0,0,0,"abstenerse"
"3428","desolation",0,0,1,0,1,0,1,0,"soledad"
"3429","despair",1,1,1,0,1,0,1,0,"desesperación"
"3430","despairing",0,0,1,0,1,0,1,0,"desesperado"
